Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SP1 mouse	20/270	8.823595222117324E-6	1.2918648389305108E-4	0	0	3.092863218124178	35.99499311666409	ABCA1;CDKN1A;CSF2;CSF1;GFPT2;TNFAIP3;SLC3A2;AHR;PTGS2;SOD2;BACH1;TNF;NDRG1;ICAM1;SOCS3;CCNA1;IL6;BHLHE40;MET;CD55
TRERF1 human	4/7	1.0738927250713836E-5	1.5329818650394E-4	0	0	23.85923053981509	272.9886157451464	CD86;CD40;CD80;CCR7
FOXM1 mouse	6/23	1.3055976760256357E-5	1.818283592708873E-4	0	0	10.892257420350369	122.49720838430407	NR4A2;SOCS3;STAT3;SNAI1;PTGS2;NFKB2
STAT1 mouse	7/34	1.3286120570659898E-5	1.8062797252016194E-4	0	0	8.596340415080437	96.5265067373526	SOCS3;CD40;IL6;IFNG;IRF1;UPP1;CFB
ATF4 human	7/35	1.6267467427036285E-5	2.1601683490320278E-4	0	0	8.350730688935283	92.0780234481252	CEBPB;IL6;CXCL8;DDIT4;PTGS2;ATF3;MCL1
PPARG mouse	8/50	2.265835012063947E-5	2.9404358906557135E-4	0	0	6.680584551148226	71.44873229378065	MUC1;CSF2;KLF5;CSF1;IFNG;ANGPTL4;PTGS2;SOD2
MYC human	11/100	2.7569352388604614E-5	3.4982444919762744E-4	0	0	4.592901878914406	48.219984990436416	IL6;CDKN1A;TFRC;BCL2;PMAIP1;CFLAR;JUNB;NDRG1;ST3GAL1;ATF3;IER3
SMAD4 human	6/26	2.8014696855524395E-5	3.4774765009792236E-4	0	0	9.635458487233018	101.00640402566695	CDKN1A;BAMBI;COL7A1;BCL2;AHR;FBXO32
GATA3 human	7/38	2.869325401004693E-5	3.4859251148376165E-4	0	0	7.691462476650917	80.44384090011789	MUC1;IFNG;MMP1;STAT4;CXCL1;RELA;NFKB1
PPARA human	7/39	3.425453400386793E-5	4.0748622742101223E-4	0	0	7.494245490070125	77.05352107103192	NFKBIA;IL6;ACSL1;G0S2;ANGPTL4;PTGS2;SOD2
BCL6 human	5/17	3.762755613845331E-5	4.384762154093232E-4	0	0	12.280486307257767	125.11081787999784	CDKN1A;IRF4;CD80;STAT3;NFKB1
HMGA1 human	5/17	3.762755613845331E-5	4.297066911011368E-4	0	0	12.280486307257767	125.11081787999784	IL1B;TWIST1;CXCL1;PTGS2;CD44
EP300 human	8/56	5.2875389194259826E-5	5.919970045082816E-4	0	0	5.964807634953773	58.73887599151197	CDKN1A;IL6;CXCL8;IFNG;IL12B;PTGS2;RELA;NFKB1
FOS human	8/57	6.0235345626601736E-5	6.614304298613383E-4	0	0	5.8601618869721275	56.94466537035357	IL1A;BATF3;CXCL8;MMP7;MMP1;FAS;PTGS2;NFKB1
NFIL3 human	4/10	6.084142520229354E-5	6.554802601982946E-4	0	0	16.701461377870565	162.12508835794262	IFNG;IL1B;PTGS2;EREG
NFKB2 mouse	4/10	6.084142520229354E-5	6.433417368612892E-4	0	0	16.701461377870565	162.12508835794262	CSF2;IL23A;REL;RELB
SMAD3 human	6/31	8.094482851270763E-5	8.403544923773829E-4	0	0	8.081352279614789	76.14042237057295	CDKN1A;BAMBI;COL7A1;AHR;ANGPTL4;MXD1
ETS2 human	6/32	9.762509068494501E-5	9.954272639482787E-4	0	0	7.828810020876827	72.2941755289178	CDKN1A;CXCL8;CSF2;MMP1;IL12B;ICAM1
PPARA mouse	7/46	1.031668040006527E-4	0.001033477983936363	0	0	6.353816828537715	58.32272303100735	NFKBIA;CEBPB;IL6;SERPINE2;BCL2;ANGPTL4;PTGS2
SPI1 human	8/62	1.1102591942596794E-4	0.0010930310343487534	0	0	5.387568186409859	49.05783218031499	CD40;PTGIR;CSF1;IL1B;CCL5;STAT3;IL12B;TNF
NFATC2 mouse	5/21	1.1431442497565821E-4	0.0011063311298491667	0	0	9.941346058256288	90.23320203166064	CSF2;IFNG;IL2RA;IL12B;TNF
PAX5 human	5/21	1.1431442497565821E-4	0.001087892277685014	0	0	9.941346058256288	90.23320203166064	CDKN1A;MMP1;BCL2;PRDM1;MET
ARNTL mouse	4/12	1.3804090449368527E-4	0.0012921533846867916	0	0	13.917884481558803	123.70160761799748	BHLHE40;BHLHE41;CXCL5;NFE2L2
FOXP3 mouse	4/12	1.3804090449368527E-4	0.001271312201062811	0	0	13.917884481558803	123.70160761799748	IFNG;IL2RA;TNFRSF18;NFKB1
JUND human	6/34	1.3913471981547612E-4	0.0012610464288037597	0	0	7.368291784354661	65.43093125560218	CDKN1A;IL6;ITGB3;CCL5;PTGS2;F3
CEBPA mouse	5/24	2.250302758029255E-4	0.002007691991929226	0	0	8.698677800974252	73.06259225546283	BCL2;IL12B;CFLAR;PTGS2;NFKB1
NFATC1 mouse	4/14	2.687107292248575E-4	0.002360520405959902	0	0	11.929615269907545	98.08380689548476	CSF2;ITGB3;IL2RA;IL12B
CREBBP human	5/25	2.757900978324452E-4	0.0023860022100352456	0	0	8.350730688935283	68.44150727920899	CDKN1A;CSF2;IRF1;INSM1;PTGS2
STAT5A mouse	5/25	2.757900978324452E-4	0.0023503902367511377	0	0	8.350730688935283	68.44150727920899	SOCS3;CSF3;CSF2;IL2RA;PRF1
TFAP2A human	8/71	2.8958502286149403E-4	0.002431662471381075	0	0	4.704637007850863	38.3289675811864	CDKN1A;CD82;BCL2;FAS;ADM;PTGS2;SOD2;PVR
CREB1 human	9/90	3.0494058291969577E-4	0.002523493809378932	0	0	4.175365344467641	33.80122593083162	IL6;NR4A3;IFNG;CCL5;BCL2;SNAI1;ETV3;PTGS2;PTGES
NR1I2 human	5/26	3.3478459100173114E-4	0.002730885735171264	0	0	8.029548739360848	64.25263565838428	KLF6;BCL2;THBS1;RELA;NFKB1
SPI1 mouse	6/40	3.5171857125017905E-4	0.0028286099180824258	0	0	6.263048016701461	49.80801178898554	ITGB3;CCL5;IL1B;IL7R;TNF;NFKB1
CLOCK mouse	4/15	3.5951547982628957E-4	0.0028511574858446024	0	0	11.134307585247043	88.30344687441185	SERPINE2;NAMPT;BHLHE40;BHLHE41
ING4 human	4/15	3.5951547982628957E-4	0.002812100533983717	0	0	11.134307585247043	88.30344687441185	CDKN1A;CXCL8;BCL2;PTGS2
JUNB human	4/15	3.5951547982628957E-4	0.0027740991754163697	0	0	11.134307585247043	88.30344687441185	CDKN1A;CD82;IL1B;PTGS2
AR human	9/93	3.899150371252386E-4	0.002968553149313483	0	0	4.0406761398073945	31.71761746689664	CDKN1A;MUC1;BTG1;KLF5;PTGS2;NDRG1;RELA;PNRC1;NFKB1
WT1 human	7/57	4.0637651148312963E-4	0.0030531708954850923	0	0	5.127641651100611	40.037807727666504	CDKN1A;WTAP;BCL2;JUNB;THBS1;EREG;HBEGF
FOSL1 mouse	3/7	4.447074808639975E-4	0.0032977658645888647	0	0	17.89442290486132	138.11083516226535	PRDM1;THBS1;NFE2L2
NCOA3 human	3/7	4.447074808639975E-4	0.0032554868150428537	0	0	17.89442290486132	138.11083516226535	MMP7;BCL2;MMP10
STAT4 mouse	3/7	4.447074808639975E-4	0.0032142781211815514	0	0	17.89442290486132	138.11083516226535	IFNG;IRF4;IL18R1
VDR human	6/42	4.6166202104754576E-4	0.0032951126752268577	0	0	5.964807634953773	45.81376373858915	CDKN1A;IL6;CXCL8;BHLHE40;DDIT4;IL12B
ATF3 human	4/16	4.7032382575338817E-4	0.0033154926482121564	0	0	10.438413361169102	79.98005333549918	CD82;IFNG;CCL5;AK4
EP300 mouse	7/60	5.581753831407997E-4	0.0038868066313828857	0	0	4.8712595685455815	36.489813060432276	SOCS3;CDKN1A;EDN1;IL6;KLF5;IRF2;PTGS2
NR1H3 mouse	4/17	6.034619324285319E-4	0.004151527270080623	0	0	9.824389045806214	72.82650224648066	ABCA1;BHLHE40;MAP3K8;F3
APEX1 mouse	3/8	6.988913269070341E-4	0.004750796995999005	0	0	15.657620041753654	113.76850674099978	PTGS2;RELA;NFKB1
ATF3 mouse	3/8	6.988913269070341E-4	0.004694905266634312	0	0	15.657620041753654	113.76850674099978	IL6;IL12B;ATF3
HMGA2 mouse	3/8	6.988913269070341E-4	0.0046403133449292614	0	0	15.657620041753654	113.76850674099978	SNAI1;TWIST1;NFKB1
POU4F1 mouse	3/8	6.988913269070341E-4	0.004586976409930075	0	0	15.657620041753654	113.76850674099978	CDKN1A;BCL2;PMAIP1
RUNX3 mouse	3/8	6.988913269070341E-4	0.004534851677999051	0	0	15.657620041753654	113.76850674099978	IFNG;CCR7;THBS1
DDIT3 human	4/18	7.612869827761464E-4	0.004884211990619995	0	0	9.278589654372535	66.62491448366202	IL6;CXCL8;ANKRD1;MCL1
CREB1 mouse	5/31	7.836700500793252E-4	0.004971951095503274	0	0	6.734460233012324	48.16164375169122	NFKBIZ;BCL2;TWIST1;PTGS2;ETV3
HSF1 human	5/31	7.836700500793252E-4	0.004917314270277963	0	0	6.734460233012324	48.16164375169122	CDKN1A;IL1B;TNF;RELA;NFKB1
USF1 human	7/65	9.081950930211639E-4	0.005636732588207441	0	0	4.496547294042076	31.49404811049081	ABCA1;ISG20;IFNG;SLC1A3;PTGS2;RELA;NFKB1
XBP1 human	4/19	9.461752129716455E-4	0.005809312329105479	0	0	8.790242830458192	61.20718858591126	PTGER4;IL6;CXCL8;SOD2
EGR2 human	3/9	0.001029734577125682	0.006255089824880472	0	0	13.917884481558803	95.7335309959624	IL6;PTGS2;IDO1
ESRRA human	3/9	0.001029734577125682	0.006189246774092256	0	0	13.917884481558803	95.7335309959624	SNAI1;AHR;PNRC1
MYC mouse	6/49	0.0010688079385459013	0.006357180551142809	0	0	5.112692258531805	34.97700819399816	ZBTB17;CDKN1A;SLC1A2;BCL2;SNAI1;NDRG1
KLF6 human	4/20	0.0011605108493316124	0.006831460772869596	0	0	8.350730688935283	56.44171176159563	CDKN1A;TFPI2;PMAIP1;ATF3
CEBPA human	6/51	0.0013222542660250472	0.007704154958166346	0	0	4.912194522903107	32.560074771880984	SOCS3;IL6;CSF1;STAT3;BCL2;ICAM1
HIF1A mouse	4/21	0.0014066758951628844	0.00811325188018189	0	0	7.95307684660503	52.224084931555915	PFKFB3;HEY1;SNAI1;PTGS2
PPARD human	3/10	0.0014449769078926742	0.00825081814406717	0	0	12.526096033402922	81.91643346441602	ANGPTL4;TXN;SAT1
SNAI1 human	3/10	0.0014449769078926742	0.008169126875314028	0	0	12.526096033402922	81.91643346441602	SNAI1;THBS1;HBEGF
STAT6 human	5/36	0.0015762092298462404	0.008823681080805914	0	0	5.799118533982835	37.42016084611207	CD40;CXCL8;DUSP1;IRF4;PTGS2
ETV4 human	4/22	0.0016870407242827671	0.009352429646266602	0	0	7.591573353577529	48.47052067298353	MMP7;MMP1;PTGS2;TNF
NCOA1 mouse	3/11	0.0019516709910892324	0.010715424383768766	0	0	11.387360030366294	71.04652899803645	NFKBIA;CDKN1A;TWIST1
FOS mouse	6/56	0.0021562574251295093	0.011725933235704283	0	0	4.47360572621533	27.465171042285462	SOCS3;CSF3;IL6;CCL5;NCK2;NFE2L2
ESR1 human	7/76	0.0022779357017324764	0.012270766846124943	0	0	3.8457312383254587	23.399296495311635	CDKN1A;CEBPB;BCL2;PMAIP1;SERPINB9;AHR;JUNB
HDAC4 human	4/24	0.0023597419480576275	0.012592641610662666	0	0	6.958942240779401	42.09605434910572	TGIF1;CDKN1A;PTGS2;PTGES
RUNX1 human	5/40	0.0025439259394344827	0.013449830661269348	0	0	5.219206680584551	31.179784685728258	CSF2;CSF1;CCL3;RELA;NFKB1
BMI1 mouse	3/12	0.002556217294519237	0.013390826377710866	0	0	10.438413361169102	62.309256081159845	CDKN1A;PMAIP1;NFKB1
CREB5 human	3/12	0.002556217294519237	0.013269091592458948	0	0	10.438413361169102	62.309256081159845	RDX;TNFRSF11B;CFB
CREM human	4/25	0.0027566867309659774	0.014180793904338495	0	0	6.680584551148226	39.37353339575487	DUSP4;CCNA1;DUSP1;CCL4
PGR human	4/25	0.0027566867309659774	0.014054179673049758	0	0	6.680584551148226	39.37353339575487	DUSP1;BCL2;PTGS2;RELA
CREBBP mouse	5/41	0.0028411697976881887	0.01435670756176952	0	0	5.091908956667855	29.856608844759677	SOCS3;IL6;BCL2;TNF;NFKB1
ETS1 human	7/79	0.0028413292540905273	0.014231570211277992	0	0	3.699690811553606	21.69307524835911	CDKN1A;CSF2;MMP1;ITGB3;SQSTM1;NDRG1;MMP10
HDAC7 human	3/13	0.0032643974662671187	0.016208443071639347	0	0	9.635458487233018	55.1599172301966	NR4A1;CDKN1A;MMP10
SP3 mouse	7/83	0.0037516167868163275	0.01846701021786313	0	0	3.5213924591895767	19.668978404482278	SOCS3;CDKN1A;IL6;CSF1;AHR;PTGS2;MET
CLOCK human	3/14	0.0040814063508629265	0.01991865834480967	0	0	8.94721145243066	49.221416547453515	NAMPT;BHLHE40;BHLHE41
MITF mouse	4/28	0.0042166698343285855	0.020404393859335783	0	0	5.964807634953773	32.619800782897876	CD40;CDKN1A;IRF4;MET
ETV4 mouse	3/15	0.005011882687385031	0.024048613567200443	0	0	8.350730688935283	44.22499915298545	MMP7;TWIST1;PTGS2
HOXA10 human	3/15	0.005011882687385031	0.02384820845414044	0	0	8.350730688935283	44.22499915298545	IL15;ITGB3;SNAI1
TBP human	3/15	0.005011882687385031	0.02365111582228804	0	0	8.350730688935283	44.22499915298545	CDKN1A;IL6;BCL2
SP3 human	8/113	0.005842582480906027	0.027345201611453616	0	0	2.9560108633399227	15.201529363907861	ABCA1;SOCS3;CDKN1A;CD83;SLC1A3;NFKB1;RELA;HBEGF
ATF2 mouse	3/16	0.006059938541931259	0.028131909816607716	0	0	7.828810020876827	39.97433940929939	IL23A;TNF;RELA
E2F1 mouse	5/49	0.006185828085779013	0.02848474062080497	0	0	4.260576882109838	21.667139857522614	CDKN1A;BCL2;NFKB1;MCL1;NFE2L2
FOXO1 mouse	5/49	0.006185828085779013	0.028256862695838533	0	0	4.260576882109838	21.667139857522614	CDKN1A;EDN1;CCL20;CCR7;IL7R
YY1 human	7/91	0.006217681116423011	0.028176951726012218	0	0	3.2118194957443396	16.317193681088053	TFRC;ADORA2A;IFNG;IL1B;FAS;LSS;GBP1
RUNX1 mouse	3/17	0.007229187511862661	0.03250288243522504	0	0	7.368291784354661	36.32294210827952	CD40;IFNG;IL23A
FOXQ1 human	2/6	0.008054692950038573	0.035931481831812696	0	0	13.917884481558803	67.10508534802503	BCL11A;TWIST1
GFI1 human	2/6	0.008054692950038573	0.03565294321296143	0	0	13.917884481558803	67.10508534802503	CYP27B1;CDKN1A
IKBKB human	2/6	0.008054692950038573	0.035378689803630965	0	0	13.917884481558803	67.10508534802503	CXCL8;CD44
BCL6 mouse	3/18	0.008522771754915053	0.03714887535920988	0	0	6.958942240779401	33.15945489005039	CDKN1A;IFNG;PRDM1
GLI2 human	3/18	0.008522771754915053	0.03686744448527647	0	0	6.958942240779401	33.15945489005039	BHLHE41;BCL2;FAS
HDAC9 human	3/18	0.008522771754915053	0.03659024565456011	0	0	6.958942240779401	33.15945489005039	CFLAR;RELA;NFKB1
TWIST1 human	4/35	0.009456049381321987	0.040294061169663095	0	0	4.771846107963018	22.242054738376417	MMP1;BCL2;CD44;ICAM1
GLI1 human	3/19	0.00994338788171375	0.04205684800339668	0	0	6.592682122843644	30.397851773741483	BHLHE41;BCL2;FAS
PML human	3/19	0.00994338788171375	0.04174760647395994	0	0	6.592682122843644	30.397851773741483	NR4A1;CDKN1A;TNFAIP3
SMARCA4 mouse	3/19	0.00994338788171375	0.041442879419405484	0	0	6.592682122843644	30.397851773741483	NFKBIA;CDKN1A;CD44
TCF4 mouse	3/19	0.00994338788171375	0.041142568698975014	0	0	6.592682122843644	30.397851773741483	EDN1;PTGS2;CD44
TRP73 mouse	3/19	0.00994338788171375	0.040846578996104686	0	0	6.592682122843644	30.397851773741483	CDKN1A;PMAIP1;FOXO3
APEX1 human	2/7	0.011098698749799173	0.04526683561525234	0	0	11.929615269907545	53.69433232667599	RELA;NFKB1
CTCF mouse	2/7	0.011098698749799173	0.044945794227910126	0	0	11.929615269907545	53.69433232667599	CSF2;IRAK2
HDAC3 mouse	2/7	0.011098698749799173	0.04462927455024879	0	0	11.929615269907545	53.69433232667599	NFKBIA;NR4A2
HOXA1 human	2/7	0.011098698749799173	0.04431718172122607	0	0	11.929615269907545	53.69433232667599	BCL2;IER3
NFATC1 human	2/7	0.011098698749799173	0.044009423514828665	0	0	11.929615269907545	53.69433232667599	IFNG;ICAM1
TFAP4 human	2/7	0.011098698749799173	0.04370591024920916	0	0	11.929615269907545	53.69433232667599	CDKN1A;IFNG
