Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
REL mouse	7/28	8.919821683103437E-9	4.630198346410966E-7	0	0	25.0	463.37474703094455	CCL5;IL1B;TNFAIP3;IL12B;SOD2;TNF;BIRC3
IKBKB mouse	5/12	7.115625499576913E-8	3.3858518002153477E-6	0	0	41.666666666666664	685.7661501447484	NFKBIA;PTGS2;CXCL2;TNF;NFKB1
PPARA human	7/39	1.0557617279730362E-7	4.637230359020028E-6	0	0	17.94871794871795	288.32520998118457	NFKBIA;IL6;ACSL1;G0S2;ANGPTL4;PTGS2;SOD2
CEBPB human	8/60	1.424605297083594E-7	5.810354461676658E-6	0	0	13.333333333333332	210.1893448014365	IL6;CXCL8;TNFAIP6;MMP1;IL1B;ADM;PTGS2;TNF
CEBPD human	5/17	5.33779780081584E-7	2.03192169617723E-5	0	0	29.411764705882355	424.80242587929854	TNFAIP6;CCL20;CXCL1;PTGS2;TNF
IRF8 mouse	5/23	2.7643280226436368E-6	9.86519563080948E-5	0	0	21.73913043478261	278.23289091982184	IL1B;CCL5;IL12B;CFLAR;TNF
STAT4 human	4/11	3.031048397200008E-6	1.0180756675301203E-4	0	0	36.36363636363637	462.0582542768213	SOCS3;IRF1;IL2RA;PIM1
PPARG human	7/66	4.255887176513815E-6	1.3500619876607713E-4	0	0	10.606060606060606	131.16735031648264	CD83;GK;MMP1;ANGPTL4;CFLAR;PTGS2;ICAM1
SP1 human	17/472	5.698038383343353E-6	1.7124104825731867E-4	0	0	3.6016949152542375	43.491865668574526	PTGIR;CD83;TFPI2;CXCL1;PTGS2;SOD2;TNF;NFKB1;ICAM1;NFKB2;ISG20;IL6;CCL5;SQSTM1;MET;CES1;HBEGF
EGR1 mouse	7/71	6.96753452538923E-6	1.989231106998625E-4	0	0	9.859154929577464	117.0700617701193	GADD45B;IL1B;CXCL2;TNF;MET;NDRG1;ICAM1
SIRT1 human	6/48	8.024310163207819E-6	2.181848144376983E-4	0	0	12.5	146.66293567017547	IL1B;NBN;CFLAR;TNF;NDRG1;ICAM1
BCL3 mouse	4/15	1.2150001455530943E-5	3.153477650503713E-4	0	0	26.666666666666664	301.818167156825	TNFAIP3;TNF;NFKB1;NFKB2
ETS2 human	5/32	1.5377155419858243E-5	3.817545975973503E-4	0	0	15.625	173.16605569043594	CXCL8;CSF2;MMP1;IL12B;ICAM1
FOS human	6/57	2.2021417496400147E-5	5.239262246018535E-4	0	0	10.526315789473683	112.8788953221903	IL1A;CXCL8;MMP7;MMP1;PTGS2;NFKB1
EGR1 human	7/88	2.8823844145484143E-5	6.583366002828577E-4	0	0	7.954545454545454	83.15926493351837	IL6;CXCL8;TFPI2;PTGS2;TNF;ATF3;NFKB1
TRERF1 human	3/7	3.3473033797170354E-5	7.351193191609336E-4	0	0	42.857142857142854	441.63301733858765	CD40;CD80;CCR7
SPI1 human	6/62	3.579115113132364E-5	7.569165665179925E-4	0	0	9.67741935483871	99.07557938915915	CD40;PTGIR;IL1B;CCL5;IL12B;TNF
TP53 human	9/164	4.160406755145857E-5	8.48425806138673E-4	0	0	5.48780487804878	55.35720339035317	PLK3;BTG3;DUSP1;MMP1;BCL3;MET;ATF3;NFKB1;IER3
TRP53 mouse	9/167	4.7929798677113745E-5	9.437212084355843E-4	0	0	5.389221556886228	53.59997503376336	DUSP4;PLK3;DUSP1;PTGS2;SOD2;NDRG1;MET;ATF3;NFKB1
NFATC2 mouse	4/21	5.082545165940558E-5	9.673777632506862E-4	0	0	19.047619047619047	188.32596784627572	CSF2;IL2RA;IL12B;TNF
ATF3 mouse	3/8	5.3162099096467675E-5	9.792115672284853E-4	0	0	37.5	369.08118144409735	IL6;IL12B;ATF3
CEBPB mouse	5/42	5.9898599003834606E-5	0.0010688156259746737	0	0	11.904761904761903	115.7483028813573	SOCS3;IL6;IL1B;PTGS2;ATF3
ETV4 human	4/22	6.16354107697523E-5	0.0010664793802887442	0	0	18.181818181818183	176.2595273169008	MMP7;MMP1;PTGS2;TNF
FOXM1 mouse	4/23	7.4029424621569E-5	0.001243258866438703	0	0	17.391304347826086	165.40952893517857	NR4A2;SOCS3;PTGS2;NFKB2
EGR2 human	3/9	7.91555905106562E-5	0.0012913669194738481	0	0	33.33333333333333	314.80317140949967	IL6;PTGS2;IDO1
CEBPA mouse	4/24	8.814271911404375E-5	0.001398041461503305	0	0	16.666666666666664	155.6092208180419	IL12B;CFLAR;PTGS2;NFKB1
SP1 mouse	11/270	9.068270182244296E-5	0.0013994546686652682	0	0	4.074074074074074	37.9220678940816	SOCS3;IL6;CSF2;GFPT2;TNFAIP3;PTGS2;SOD2;TNF;NDRG1;MET;ICAM1
CREBBP human	4/25	1.0411396073230691E-4	0.0015644492520565064	0	0	16.0	146.72039171960517	CSF2;IRF1;INSM1;PTGS2
IRF1 mouse	4/25	1.0411396073230691E-4	0.0015243351686704421	0	0	16.0	146.72039171960517	CCL5;IL12B;TAP1;TNF
NFKB2 mouse	3/10	1.1224655254723089E-4	0.001602319537611721	0	0	30.0	272.84438232262966	CSF2;REL;RELB
PPARG mouse	5/50	1.398365134139565E-4	0.0019474792477894918	0	0	10.0	88.7503657904839	CSF2;KLF5;ANGPTL4;PTGS2;SOD2
HDAC1 mouse	4/28	1.6460907121433117E-4	0.0022378995157948355	0	0	14.285714285714285	124.45624515116702	NFKBIA;IL6;CCL5;IL12B
NFE2L2 mouse	5/53	1.8485918100710728E-4	0.002454757961745541	0	0	9.433962264150944	81.09354911772412	IL1RN;SLC7A11;SOD2;SQSTM1;NFKB1
FOXP3 mouse	3/12	2.0276702349047898E-4	0.0026313629639332613	0	0	25.0	212.5863226382943	IL2RA;TNFRSF18;NFKB1
EP300 human	5/56	2.4017285785957223E-4	0.003047526707507016	0	0	8.928571428571429	74.41206832848094	IL6;CXCL8;IL12B;PTGS2;NFKB1
ATF2 human	4/32	2.802069439193893E-4	0.0034782209777819845	0	0	12.5	102.24977677947209	DUSP1;PTGS2;TNF;ATF3
NFATC1 mouse	3/14	3.30570754905644E-4	0.004016083001087718	0	0	21.428571428571427	171.74335365322946	CSF2;IL2RA;IL12B
EP300 mouse	5/60	3.324843108549847E-4	0.003955177947879088	0	0	8.333333333333332	66.74098236983477	SOCS3;EDN1;IL6;KLF5;PTGS2
STAT1 mouse	4/34	3.5577326889246036E-4	0.004145847684440712	0	0	11.76470588235294	93.42608135462672	SOCS3;CD40;IL6;IRF1
ATF4 human	4/35	3.98558082417591E-4	0.004551533301208889	0	0	11.428571428571429	89.4589407741554	IL6;CXCL8;PTGS2;ATF3
STAT6 human	4/36	4.448946011773135E-4	0.004981074848475411	0	0	11.11111111111111	85.75192394598517	CD40;CXCL8;DUSP1;PTGS2
GATA3 human	4/38	5.488816438829229E-4	0.006027142666483633	0	0	10.526315789473683	79.02766025904441	MMP1;STAT4;CXCL1;NFKB1
HMGA1 human	3/17	6.040394207294829E-4	0.006507669985594995	0	0	17.647058823529413	130.79772522442562	IL1B;CXCL1;PTGS2
SPI1 mouse	4/40	6.690615196291692E-4	0.0070747060686714	0	0	10.0	73.09634544471704	CCL5;IL1B;TNF;NFKB1
HDAC1 human	5/71	7.253797494594338E-4	0.007530760671660667	0	0	7.042253521126761	50.90714963297953	CXCL8;PTGS2;NFKB1;ICAM1;BIRC3
CREBBP mouse	4/41	7.356418168161046E-4	0.0075009192393213535	0	0	9.75609756097561	70.38797287442334	SOCS3;IL6;TNF;NFKB1
XBP1 human	3/19	8.481701801219675E-4	0.008496581979818306	0	0	15.789473684210526	111.66993565579956	IL6;CXCL8;SOD2
PPARA mouse	4/46	0.0011401784650819998	0.011224860406238308	0	0	8.695652173913043	58.92669983052694	NFKBIA;IL6;ANGPTL4;PTGS2
ETS1 human	5/79	0.0011773948684188004	0.011394787624866697	0	0	6.329113924050633	42.686398859370215	CSF2;MMP1;SQSTM1;NDRG1;MMP10
AHR human	3/22	0.0013185462203513692	0.012548164863677196	0	0	13.636363636363635	90.42580223907456	MT2A;IL6;IL1B
IRF1 human	4/51	0.0016795486223000733	0.01572167644808757	0	0	7.8431372549019605	50.11160940289798	CD40;CCL5;IL12B;TAP1
CREM human	3/25	0.0019263332020576173	0.01774090739314354	0	0	12.0	75.025643741551	DUSP4;DUSP1;CCL4
STAT5A mouse	3/25	0.0019263332020576173	0.017459305688490467	0	0	12.0	75.025643741551	SOCS3;CSF2;IL2RA
CTCF mouse	2/7	0.0020216133697869413	0.018036581783567866	0	0	28.57142857142857	177.25312538411833	CSF2;IRAK2
HDAC3 mouse	2/7	0.0020216133697869413	0.017759095909974515	0	0	28.57142857142857	177.25312538411833	NFKBIA;NR4A2
NCOA3 human	2/7	0.0020216133697869413	0.017490018699217326	0	0	28.57142857142857	177.25312538411833	MMP7;MMP10
ERG human	3/27	0.002414105915085408	0.02057394742557863	0	0	11.11111111111111	66.96029202136916	CXCL8;PIM1;ICAM1
APEX1 mouse	2/8	0.0026777674677022855	0.022485370942029487	0	0	25.0	148.0692966516205	PTGS2;NFKB1
ZFP36 human	2/8	0.0026777674677022855	0.02215949600084065	0	0	25.0	148.0692966516205	IL6;CXCL8
SMAD7 mouse	2/8	0.0026777674677022855	0.021842931772257212	0	0	25.0	148.0692966516205	NFKBIA;MET
MYC human	5/100	0.0033238214487381523	0.026731014749711055	0	0	5.0	28.53320059607213	IL6;CFLAR;NDRG1;ATF3;IER3
HSF1 human	3/31	0.0036027345500000223	0.02857168650069462	0	0	9.67741935483871	54.44576249657231	IL1B;TNF;NFKB1
USF1 human	4/65	0.004082818057618266	0.03193546727260315	0	0	6.153846153846154	33.85210971441952	ISG20;SLC1A3;PTGS2;NFKB1
EPAS1 human	2/10	0.004247232134539841	0.032772561470570935	0	0	20.0	109.22975541341087	CCR7;MSC
NFIL3 human	2/10	0.004247232134539841	0.03233559398429666	0	0	20.0	109.22975541341087	IL1B;PTGS2
JUND human	3/34	0.004692069558581303	0.035252259446709525	0	0	8.823529411764707	47.310719323841646	IL6;CCL5;PTGS2
ID1 mouse	2/11	0.0051570205394645754	0.03824232114330224	0	0	18.181818181818183	95.7708414743501	REL;TNF
IRF8 human	2/11	0.0051570205394645754	0.037752034974798364	0	0	18.181818181818183	95.7708414743501	IL1B;CFLAR
STAT2 human	2/11	0.0051570205394645754	0.03727416111435788	0	0	18.181818181818183	95.7708414743501	IRF1;PTGS2
SP3 human	5/113	0.005586013933602578	0.039870174451088404	0	0	4.424778761061947	22.95349255346459	SOCS3;CD83;SLC1A3;NFKB1;HBEGF
IRF7 human	2/12	0.0061478754316609515	0.04333872680837535	0	0	16.666666666666664	84.86081191857791	CCL5;CD80
POU2F1 human	3/38	0.006424287048407678	0.044734974446838834	0	0	7.894736842105263	39.85002331252363	PTGIR;IL2RA;HIST2H2BE
KLF4 human	3/40	0.0074150224240263525	0.05101178077251864	0	0	7.5	36.78185459439754	IL6;IL1B;ATF3
RUNX1 human	3/40	0.0074150224240263525	0.05040449766808389	0	0	7.5	36.78185459439754	CSF2;CCL3;NFKB1
STAT3 mouse	4/79	0.008133898467797572	0.05464065911896957	0	0	5.063291139240506	24.36311369123732	SOCS3;IL6;CCL20;TNF
CLOCK human	2/14	0.008366027088182239	0.055546528690140214	0	0	14.285714285714285	68.33680240111471	NAMPT;BHLHE41
PGR mouse	2/14	0.008366027088182239	0.05490806284312711	0	0	14.285714285714285	68.33680240111471	NFKBIA;KLF5
VDR human	3/42	0.00849123527188726	0.05509653795735939	0	0	7.142857142857142	34.062291371178084	IL6;CXCL8;IL12B
CLOCK mouse	2/15	0.009590008493683598	0.06152690842576781	0	0	13.333333333333332	61.96044672541186	NAMPT;BHLHE41
ETV4 mouse	2/15	0.009590008493683598	0.06084327610992594	0	0	13.333333333333332	61.96044672541186	MMP7;PTGS2
ING4 human	2/15	0.009590008493683598	0.06017466868014654	0	0	13.333333333333332	61.96044672541186	CXCL8;PTGS2
JUNB human	2/15	0.009590008493683598	0.05952059619449277	0	0	13.333333333333332	61.96044672541186	IL1B;PTGS2
HIF1A human	4/83	0.009646988338752521	0.059230433778792356	0	0	4.819277108433735	22.366792778745403	EDN1;CCR7;MET;HBEGF
SP3 mouse	4/83	0.009646988338752521	0.05860032278114563	0	0	4.819277108433735	22.366792778745403	SOCS3;IL6;PTGS2;MET
ATF3 human	2/16	0.010888425001890752	0.06544516501136441	0	0	12.5	56.50068725528057	CCL5;AK4
NFE2L2 human	2/16	0.010888425001890752	0.06476344454249604	0	0	12.5	56.50068725528057	CXCL8;SOD2
E2F1 human	5/134	0.011243738705238253	0.0661873690792891	0	0	3.731343283582089	16.746059197025495	DUSP1;IL1B;CCL3;TNF;RASGRP1
BCL6 human	2/17	0.012259680874864825	0.07143140591375322	0	0	11.76470588235294	51.78163974818227	CD80;NFKB1
CREB1 human	4/90	0.01271291410432884	0.07332397932900775	0	0	4.444444444444445	19.400608638042335	IL6;NR4A3;CCL5;PTGS2
FOXO1 mouse	3/49	0.012951499605550441	0.07395306274769302	0	0	6.122448979591836	26.61149202786397	EDN1;CCL20;CCR7
YY1 human	4/91	0.013195970913978198	0.07460296427605496	0	0	4.395604395604396	19.023488922077615	ADORA2A;IL1B;LSS;GBP1
DDIT3 human	2/18	0.013702204565774857	0.07670547850056317	0	0	11.11111111111111	47.6688726876	IL6;CXCL8
HDAC9 human	2/18	0.013702204565774857	0.07596076511706255	0	0	11.11111111111111	47.6688726876	CFLAR;NFKB1
AR human	4/93	0.014196823423564662	0.07794602091207135	0	0	4.301075268817205	18.299944266520185	KLF5;PTGS2;NDRG1;NFKB1
CEBPA human	3/51	0.014428570220361191	0.07846393900786895	0	0	5.88235294117647	24.9326176172561	SOCS3;IL6;ICAM1
TCF4 mouse	2/19	0.015214448401771344	0.08195707582463621	0	0	10.526315789473683	44.057997367062825	EDN1;PTGS2
NR3C1 mouse	2/19	0.015214448401771344	0.08119112184496671	0	0	10.526315789473683	44.057997367062825	NFKBIA;PTGS2
KLF6 human	2/20	0.016794888254868964	0.08879519623639054	0	0	10.0	40.86680709416112	TFPI2;ATF3
NR1H4 human	2/20	0.016794888254868964	0.08798056140853375	0	0	10.0	40.86680709416112	EDN1;NFKB1
PAX5 human	2/21	0.01844202324839397	0.09573086613484506	0	0	9.523809523809524	38.02974615470302	MMP1;MET
FOS mouse	3/56	0.018523163468073006	0.0952858228853125	0	0	5.357142857142857	21.368213843251255	SOCS3;IL6;CCL5
AHR mouse	2/22	0.02015437543575447	0.10275132476621252	0	0	9.090909090909092	35.49394428134545	IL6;PTGS2
ATM human	2/22	0.02015437543575447	0.10184202100721948	0	0	9.090909090909092	35.49394428134545	DUSP1;CFLAR
CTNNB1 human	2/22	0.02015437543575447	0.10094866994575265	0	0	9.090909090909092	35.49394428134545	MMP7;PTGS2
FOXO1 human	2/24	0.023768932446959146	0.11801791675837976	0	0	8.333333333333332	31.161465919998925	EDN1;IL6
HDAC3 human	2/24	0.023768932446959146	0.11700052092425581	0	0	8.333333333333332	31.161465919998925	LSS;TNF
CTNNB1 mouse	3/62	0.02420123683234315	0.11811030966895673	0	0	4.838709677419355	18.00653970169836	MMP7;PTGS2;MET
PARP1 human	2/25	0.02566829332016634	0.12420843632046594	0	0	8.0	29.299990173554935	CXCL1;NFKB1
PGR human	2/25	0.02566829332016634	0.12316466794802505	0	0	8.0	29.299990173554935	DUSP1;PTGS2
NR1I2 human	2/26	0.027627182900674514	0.1314593453023762	0	0	7.6923076923076925	27.607346947977828	KLF6;NFKB1
MITF mouse	2/28	0.031718098235620266	0.1496779677069353	0	0	7.142857142857142	24.64905599109783	CD40;MET
TFAP2A human	3/71	0.03428251691018052	0.16045341930912357	0	0	4.225352112676056	14.252618728861458	ADM;PTGS2;SOD2
CTCF human	2/30	0.036030988496536624	0.16726580838636107	0	0	6.666666666666666	22.15583946149441	CSF2;IRAK2
CREB1 mouse	2/31	0.0382674239788824	0.17621531525759557	0	0	6.451612903225806	21.052621248849643	NFKBIZ;PTGS2
LEF1 mouse	2/32	0.04055549332201731	0.18525749349497506	0	0	6.25	20.03177523289152	MMP7;PTGS2
TWIST1 human	2/35	0.04771715203605925	0.2162420143856336	0	0	5.714285714285714	17.385510652874384	MMP1;ICAM1
MYB human	2/37	0.05272745114535424	0.23706594176375803	0	0	5.405405405405405	15.90604899705171	IL15;ICAM1
ZBTB33 mouse	1/6	0.058526730760990416	0.2610840880041057	0	0	16.666666666666664	47.30452821704204	MMP7
ETV5 mouse	1/6	0.058526730760990416	0.25906018034515915	0	0	16.666666666666664	47.30452821704204	PTGS2
FOXO4 human	1/6	0.058526730760990416	0.25706740972711944	0	0	16.666666666666664	47.30452821704204	SOD2
FOXP2 human	1/6	0.058526730760990416	0.25510506308798114	0	0	16.666666666666664	47.30452821704204	MET
GFI1 human	1/6	0.058526730760990416	0.25317244897367824	0	0	16.666666666666664	47.30452821704204	CYP27B1
IKBKB human	1/6	0.058526730760990416	0.25126889672575586	0	0	16.666666666666664	47.30452821704204	CXCL8
MEF2D human	1/6	0.058526730760990416	0.24939375570541442	0	0	16.666666666666664	47.30452821704204	ATF3
NEUROG3 mouse	1/6	0.058526730760990416	0.24754639455204097	0	0	16.666666666666664	47.30452821704204	INSM1
PAX3 human	1/6	0.058526730760990416	0.24572620047445243	0	0	16.666666666666664	47.30452821704204	MET
SFPQ human	1/6	0.058526730760990416	0.24393257857317904	0	0	16.666666666666664	47.30452821704204	CXCL8
SMAD4 mouse	2/40	0.06057350187737668	0.25063383747813106	0	0	5.0	14.019488721418307	MMP7;GADD45B
APEX1 human	1/7	0.06794426888853011	0.2791091909018035	0	0	14.285714285714285	38.41524978585786	NFKB1
ELK1 mouse	1/7	0.06794426888853011	0.27711555382393355	0	0	14.285714285714285	38.41524978585786	IL6
HNF1B mouse	1/7	0.06794426888853011	0.2751501952861751	0	0	14.285714285714285	38.41524978585786	SOCS3
HOXA1 human	1/7	0.06794426888853011	0.27321251785458234	0	0	14.285714285714285	38.41524978585786	IER3
JUND mouse	1/7	0.06794426888853011	0.2713019408066482	0	0	14.285714285714285	38.41524978585786	CCL5
MEF2A mouse	1/7	0.06794426888853011	0.2694178995510465	0	0	14.285714285714285	38.41524978585786	MMP10
NCOR1 human	1/7	0.06794426888853011	0.2675598450713841	0	0	14.285714285714285	38.41524978585786	G0S2
NFATC1 human	1/7	0.06794426888853011	0.26572724339281295	0	0	14.285714285714285	38.41524978585786	ICAM1
NR3C2 human	1/7	0.06794426888853011	0.26391957507041286	0	0	14.285714285714285	38.41524978585786	CD40
CDX1 human	1/8	0.07726807133802915	0.29810857252712597	0	0	12.5	32.00593071730013	PTGS2
DMTF1 mouse	1/8	0.07726807133802915	0.29610784385244726	0	0	12.5	32.00593071730013	ETS2
FOXD3 human	1/8	0.07726807133802915	0.2941337915600976	0	0	12.5	32.00593071730013	NDRG1
HMGA2 mouse	1/8	0.07726807133802915	0.2921858856557261	0	0	12.5	32.00593071730013	NFKB1
IRF2 human	1/8	0.07726807133802915	0.2902636100922016	0	0	12.5	32.00593071730013	TAP1
KCNIP3 mouse	1/8	0.07726807133802915	0.2883664623138212	0	0	12.5	32.00593071730013	TNFAIP3
MAZ human	1/8	0.07726807133802915	0.2864939528182769	0	0	12.5	32.00593071730013	MMP1
NR0B2 human	1/8	0.07726807133802915	0.2846456047355784	0	0	12.5	32.00593071730013	PTGS2
RUNX3 mouse	1/8	0.07726807133802915	0.2828209534231708	0	0	12.5	32.00593071730013	CCR7
MYC mouse	2/49	0.08621893825800953	0.3135733359574741	0	0	4.081632653061224	10.003532343160328	SLC1A2;NDRG1
BTF3 human	1/9	0.08649906605727922	0.3126010551816863	0	0	11.11111111111111	27.195796245869616	NFKB1
ZNF148 human	1/9	0.08649906605727922	0.3106350108094744	0	0	11.11111111111111	27.195796245869616	ADORA2A
ELF3 human	1/9	0.08649906605727922	0.30869354199191523	0	0	11.11111111111111	27.195796245869616	PTGS2
FOSL1 human	1/9	0.08649906605727922	0.30677619079941887	0	0	11.11111111111111	27.195796245869616	MMP1
FOXO3 mouse	1/9	0.08649906605727922	0.304882510609299	0	0	11.11111111111111	27.195796245869616	SOCS3
GFI1B mouse	1/9	0.08649906605727922	0.3030120657589352	0	0	11.11111111111111	27.195796245869616	SOCS3
HOXA9 human	1/9	0.08649906605727922	0.3011644312116246	0	0	11.11111111111111	27.195796245869616	NFKB1
MYCN mouse	1/9	0.08649906605727922	0.2993391922345845	0	0	11.11111111111111	27.195796245869616	NDRG1
NCOA3 mouse	1/9	0.08649906605727922	0.297535944088593	0	0	11.11111111111111	27.195796245869616	NFKBIA
SMAD7 human	1/9	0.08649906605727922	0.29575429172878104	0	0	11.11111111111111	27.195796245869616	MET
ABL1 human	1/10	0.09563817205648316	0.3250559300253088	0	0	10.0	23.47183249325781	PIM1
ZNF382 human	1/10	0.09563817205648316	0.3231325221553366	0	0	10.0	23.47183249325781	NFKB1
GATA2 mouse	1/10	0.09563817205648316	0.3212317426132464	0	0	10.0	23.47183249325781	CSF2
HDAC2 mouse	1/10	0.09563817205648316	0.3193531944108297	0	0	10.0	23.47183249325781	NFKBIA
NFE2 mouse	1/10	0.09563817205648316	0.3174964897921621	0	0	10.0	23.47183249325781	TNF
NFIL3 mouse	1/10	0.09563817205648316	0.3156612499667739	0	0	10.0	23.47183249325781	PTGS2
NR4A1 mouse	1/10	0.09563817205648316	0.31384710485202233	0	0	10.0	23.47183249325781	EDN1
PPARD human	1/10	0.09563817205648316	0.31205369282429646	0	0	10.0	23.47183249325781	ANGPTL4
SNAI1 human	1/10	0.09563817205648316	0.3102806604787039	0	0	10.0	23.47183249325781	HBEGF
SPDEF human	1/10	0.09563817205648316	0.30852766239690327	0	0	10.0	23.47183249325781	SQSTM1
TAL1 human	1/10	0.09563817205648316	0.3067943609227634	0	0	10.0	23.47183249325781	NFKB1
FOXP3 human	1/11	0.10468629924390684	0.333943446191457	0	0	9.090909090909092	20.51624569943165	IL2RA
IRF4 mouse	1/11	0.10468629924390684	0.3320882048237267	0	0	9.090909090909092	20.51624569943165	IL1B
KLF2 human	1/11	0.10468629924390684	0.3302534633606122	0	0	9.090909090909092	20.51624569943165	CCR7
MEF2A human	1/11	0.10468629924390684	0.32843888389159787	0	0	9.090909090909092	20.51624569943165	MMP10
MSC human	1/11	0.10468629924390684	0.3266441358921902	0	0	9.090909090909092	20.51624569943165	IL2RA
NCOA1 mouse	1/11	0.10468629924390684	0.3248688960232109	0	0	9.090909090909092	20.51624569943165	NFKBIA
PARP1 mouse	1/11	0.10468629924390684	0.32311284793659895	0	0	9.090909090909092	20.51624569943165	NFKB1
PAX6 human	1/11	0.10468629924390684	0.32137568208747747	0	0	9.090909090909092	20.51624569943165	MET
POU1F1 human	1/11	0.10468629924390684	0.3196570955522503	0	0	9.090909090909092	20.51624569943165	INSM1
PPARD mouse	1/11	0.10468629924390684	0.3179567918525043	0	0	9.090909090909092	20.51624569943165	ANGPTL4
RARA mouse	1/11	0.10468629924390684	0.3162744807845016	0	0	9.090909090909092	20.51624569943165	KLF5
SP4 human	1/11	0.10468629924390684	0.3146098782540569	0	0	9.090909090909092	20.51624569943165	NFKB1
APC human	1/12	0.11364434870559527	0.33974305293662255	0	0	8.333333333333332	18.122345461197042	PTGS2
ARNTL mouse	1/12	0.11364434870559527	0.33797355786924427	0	0	8.333333333333332	18.122345461197042	BHLHE41
TCF7L2 human	1/12	0.11364434870559527	0.33622239953831556	0	0	8.333333333333332	18.122345461197042	PTGS2
BMI1 mouse	1/12	0.11364434870559527	0.3344892943860562	0	0	8.333333333333332	18.122345461197042	NFKB1
NR4A2 mouse	1/12	0.11364434870559527	0.3327739646712559	0	0	8.333333333333332	18.122345461197042	GCH1
OTX2 human	1/12	0.11364434870559527	0.3310761383208924	0	0	8.333333333333332	18.122345461197042	IL6
ETS1 mouse	2/59	0.11773560826365449	0.3412539711601356	0	0	3.389830508474576	7.251911106336953	PTGS2;MET
AR mouse	1/13	0.12251321261076642	0.35330830505428096	0	0	7.6923076923076925	16.15027997512726	TNF
ATF4 mouse	1/13	0.12251321261076642	0.35153288643591774	0	0	7.6923076923076925	16.15027997512726	IL6
