Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CUX1 human	1/8	0.07726807133802915	1.0	0	0	12.5	32.00593071730013	RACGAP1
ERG mouse	1/8	0.07726807133802915	1.0	0	0	12.5	32.00593071730013	LYL1
HES1 human	1/8	0.07726807133802915	1.0	0	0	12.5	32.00593071730013	CD4
RUNX3 mouse	1/8	0.07726807133802915	1.0	0	0	12.5	32.00593071730013	CD4
MAZ human	1/8	0.07726807133802915	1.0	0	0	12.5	32.00593071730013	CD4
NKX2-5 human	1/9	0.08649906605727922	1.0	0	0	11.11111111111111	27.195796245869616	LYL1
PPARG mouse	2/50	0.08924145426065531	1.0	0	0	4.0	9.665638453950644	SLC27A1;CAT
TFAP2A mouse	1/10	0.09563817205648316	1.0	0	0	10.0	23.47183249325781	CEBPA
ZBTB16 human	1/10	0.09563817205648316	1.0	0	0	10.0	23.47183249325781	CEBPA
PPARD human	1/10	0.09563817205648316	1.0	0	0	10.0	23.47183249325781	CAT
LMO2 human	1/10	0.09563817205648316	1.0	0	0	10.0	23.47183249325781	LYL1
NFE2L2 mouse	2/53	0.09849179715211694	1.0	0	0	3.773584905660377	8.746347214774913	SLC40A1;CD36
NR1H4 mouse	1/11	0.10468629924390684	1.0	0	0	9.090909090909092	20.51624569943165	HHEX
STAT4 human	1/11	0.10468629924390684	1.0	0	0	9.090909090909092	20.51624569943165	S100A4
MECP2 human	1/11	0.10468629924390684	1.0	0	0	9.090909090909092	20.51624569943165	MGMT
ARNTL mouse	1/12	0.11364434870559527	1.0	0	0	8.333333333333332	18.122345461197042	DBP
NR1I2 mouse	1/12	0.11364434870559527	1.0	0	0	8.333333333333332	18.122345461197042	CD36
ELF1 mouse	1/12	0.11364434870559527	1.0	0	0	8.333333333333332	18.122345461197042	LYL1
TP73 human	1/13	0.12251321261076642	1.0	0	0	7.6923076923076925	16.15027997512726	CABLES1
FLI1 mouse	1/13	0.12251321261076642	1.0	0	0	7.6923076923076925	16.15027997512726	LYL1
SPI1 human	2/62	0.12768391868560922	1.0	0	0	3.225806451612903	6.6393466267472245	FES;ALOX15
TCF3 human	1/14	0.1312937743788508	1.0	0	0	7.142857142857142	14.502270814561209	CD4
ZEB1 mouse	1/14	0.1312937743788508	1.0	0	0	7.142857142857142	14.502270814561209	CD4
USF1 human	2/65	0.13782157638259904	1.0	0	0	3.076923076923077	6.097831861960217	APEX1;SLC19A1
CLOCK mouse	1/15	0.13998690873161904	1.0	0	0	6.666666666666666	13.108042465366275	DBP
PTTG1 human	1/15	0.13998690873161904	1.0	0	0	6.666666666666666	13.108042465366275	S100A4
RFX1 human	1/15	0.13998690873161904	1.0	0	0	6.666666666666666	13.108042465366275	HLA-DMB
HOXA10 human	1/15	0.13998690873161904	1.0	0	0	6.666666666666666	13.108042465366275	LYL1
ATF2 mouse	1/16	0.14859348181119025	1.0	0	0	6.25	11.915881322811435	CEBPA
NFE2L2 human	1/16	0.14859348181119025	1.0	0	0	6.25	11.915881322811435	CAT
IKZF1 mouse	1/16	0.14859348181119025	1.0	0	0	6.25	11.915881322811435	CD4
FOXM1 human	1/17	0.15711435119222805	1.0	0	0	5.88235294117647	10.88694933653079	CDC25B
POU2F2 mouse	1/17	0.15711435119222805	1.0	0	0	5.88235294117647	10.88694933653079	CD36
RUNX1 mouse	1/17	0.15711435119222805	1.0	0	0	5.88235294117647	10.88694933653079	CEBPA
HDAC1 human	2/71	0.15858644337758454	1.0	0	0	2.816901408450704	5.1871984513998415	MGMT;ALOX15
DDIT3 human	1/18	0.16555036603580536	1.0	0	0	5.555555555555555	9.991554466458897	CEBPA
XBP1 human	1/19	0.17390236715270527	1.0	0	0	5.263157894736842	9.206638134555671	ERP29
NFKBIA human	1/19	0.17390236715270527	1.0	0	0	5.263157894736842	9.206638134555671	PON2
NR0B2 mouse	1/19	0.17390236715270527	1.0	0	0	5.263157894736842	9.206638134555671	SLC40A1
SREBF2 human	1/20	0.182171186958547	1.0	0	0	5.0	8.51404223148214	PON2
ETS1 human	2/79	0.18707672748571472	1.0	0	0	2.531645569620253	4.243636554102224	TBXAS1;F13A1
JUN human	3/149	0.18751106259351208	1.0	0	0	2.013422818791946	3.3703035600269824	MGMT;POLD2;SLC19A1
NFATC2 mouse	1/21	0.19035764983475928	1.0	0	0	4.761904761904762	7.899288612875955	BACE1
HIF1A mouse	1/21	0.19035764983475928	1.0	0	0	4.761904761904762	7.899288612875955	BACE1
SP1 human	7/472	0.1951106445366346	1.0	0	0	1.4830508474576272	2.4235846004602504	BACE1;MGMT;FES;APEX1;CAT;POLD2;SLC19A1
GATA4 mouse	1/22	0.1984625719282345	1.0	0	0	4.545454545454546	7.35070341432382	HHEX
MTA1 human	1/24	0.2144310182188985	1.0	0	0	4.166666666666666	6.415696607172482	ALOX15
SMAD1 mouse	1/24	0.2144310182188985	1.0	0	0	4.166666666666666	6.415696607172482	HHEX
PGR human	1/25	0.22229613484504876	1.0	0	0	4.0	6.0149793810997405	HLTF
TP53 human	3/164	0.22615049164367584	1.0	0	0	1.8292682926829267	2.7193072117482706	MGMT;TBXAS1;CABLES1
NFIC human	1/27	0.23779207752429157	1.0	0	0	3.7037037037037033	5.319846707369967	POLD2
SOX9 mouse	1/29	0.252980772589684	1.0	0	0	3.4482758620689653	4.739454451075238	CATSPER1
LEF1 human	1/29	0.252980772589684	1.0	0	0	3.4482758620689653	4.739454451075238	CEBPA
RUNX3 human	1/30	0.2604618012849767	1.0	0	0	3.333333333333333	4.484330215609899	CD36
MYC human	2/100	0.2642273190435063	1.0	0	0	2.0	2.6618909786994847	CEBPA;TOP1MT
DNMT1 human	1/31	0.2678682819607093	1.0	0	0	3.225806451612903	4.249225498422465	MGMT
HNF4A mouse	1/36	0.3038080819844295	1.0	0	0	2.7777777777777777	3.309330794992394	CEBPA
STAT6 human	1/36	0.3038080819844295	1.0	0	0	2.7777777777777777	3.309330794992394	ALOX15
PPARA human	1/39	0.3245235847719431	1.0	0	0	2.564102564102564	2.8856335003438707	CD36
SMAD4 mouse	1/40	0.3312915354401823	1.0	0	0	2.5	2.7618912988356934	HHEX
CEBPB mouse	1/42	0.34462567794504406	1.0	0	0	2.380952380952381	2.5364201010565606	CEBPA
MYCN human	1/45	0.36413243667788175	1.0	0	0	2.2222222222222223	2.2449725344241993	MCM6
USF2 human	1/47	0.376814886705751	1.0	0	0	2.127659574468085	2.0765983591870643	SLC19A1
E2F1 human	2/134	0.38826990942474676	1.0	0	0	1.4925373134328357	1.41202169904315	RACGAP1;CTNNBIP1
RUNX2 mouse	1/57	0.43654940104748474	1.0	0	0	1.7543859649122806	1.4541293591926518	ASRGL1
ETS1 mouse	1/59	0.4477942115947188	1.0	0	0	1.694915254237288	1.3617313579986585	CD4
CEBPB human	1/60	0.4533325962584122	1.0	0	0	1.6666666666666665	1.3185486913700535	SLC19A1
EGR1 mouse	1/71	0.5107249334696091	1.0	0	0	1.408450704225352	0.946372006161961	CAT
STAT3 mouse	1/79	0.5486603241296241	1.0	0	0	1.2658227848101264	0.7598427169488645	BACE1
HIF1A human	1/83	0.5665156476761636	1.0	0	0	1.2048192771084338	0.6846392496691033	APEX1
SP3 mouse	1/83	0.5665156476761636	1.0	0	0	1.2048192771084338	0.6846392496691033	CEBPA
STAT1 human	1/84	0.5708685433147935	1.0	0	0	1.1904761904761905	0.667376568686618	FCGRT
RELA human	3/301	0.5818812611517757	1.0	0	0	0.9966777408637872	0.5396899043570368	BACE1;MGMT;ADORA3
NFKB1 human	3/303	0.5863806130401347	1.0	0	0	0.9900990099009901	0.5285011781566897	BACE1;MGMT;ADORA3
RELA mouse	1/121	0.7047016248848418	1.0	0	0	0.8264462809917356	0.28924032468548805	MGMT
JUN mouse	1/131	0.7331076000158043	1.0	0	0	0.7633587786259541	0.2369944991220157	CAT
SP1 mouse	2/270	0.7549735510954243	1.0	0	0	0.7407407407407407	0.2082018977840185	BACE1;CEBPA
TRP53 mouse	1/167	0.8146370791826294	1.0	0	0	0.5988023952095809	0.12276201588855574	MGMT
NFKB1 mouse	1/200	0.8673678080217752	1.0	0	0	0.5	0.07114608072818812	CEBPA
